City,Country,Year,Semester,Major,Second major,Program,Term,Gender,ID
Arusha,Tanzania,2018,Spring,Biology,,SIT - Tanzania-Wildlife Ecology and Conservation,Spring 2018 ,Female,23
Atenas,Costa Rica,2016,Fall,Development Studies,,SFS - Sustainable Development Studies,Fall 2016 ,Male,24
Atenas,Costa Rica,2017,Spring,Biology,,SFS - Sustainable Development Studies,Spring 2017 ,Female,25
Athens,Greece,2016,Fall,Classics,,College Year in Athens - International Center for Hellenic and Mediterranean Studies,Fall 2016 ,Female,26
Auckland,New Zealand,2016,Fall,No,,IFSA Butler - University of Auckland,Fall 2016 ,Female,27
Auckland,New Zealand,2016,Fall,Modern Culture and Media,None,IFSA Butler - University of Auckland,Fall 2016 ,Female,28
Auckland,New Zealand,2017,Fall,Geology,,IFSA Butler - University of Auckland,Fall 2017 ,Female,29
Auckland,New Zealand,2018,Fall,Yes,,IFSA Butler - University of Auckland,Fall 2018 ,Female,30
Auckland,New Zealand,2017,Spring,No,None,IFSA Butler - University of Auckland,Spring 2017 ,Male,31
Auckland,New Zealand,2017,Spring,Engineering,,IFSA Butler - University of Auckland,Spring 2017 ,Male,32
Auckland,New Zealand,2018,Spring,Sociology,,IFSA Butler - University of Auckland,Spring 2018 ,Female,33
Aukland,New Zealand,2017,Fall,Geology,,Frontiers Abroad: New Zealand Earth Systems,Fall 2017 ,Male,34
Barcelona,Spain,2016,Fall,Cognitive Neuroscience,,*Brown in Barcelona (CASA) - Brown + 1 Program - for Brown Students Only,Fall 2016 ,Female,35
Barcelona,Spain,2016,Fall,None,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female,36
Barcelona,Spain,2016,Fall,Public Policy and American Institutions,Spanish,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male,37
Barcelona,Spain,2016,Fall,None,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female,38
Barcelona,Spain,2016,Fall,International Relations,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female,39
Barcelona,Spain,2016,Fall,None,Spanish,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male,40
Barcelona,Spain,2016,Fall,Anthropology,Religious Studies,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male,41
Barcelona,Spain,2016,Fall,Psychology,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male,42
Barcelona,Spain,2016,Fall,Psychology,Spanish,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female,43
Barcelona,Spain,2016,Fall,Business (General),,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female,44
Barcelona,Spain,2016,Fall,None,Philosophy,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male,45
Barcelona,Spain,2016,Fall,Cognitive Neuroscience,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female,46
Barcelona,Spain,2016,Fall,History,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female,47
Barcelona,Spain,2016,Fall,Yes,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male,48
Barcelona,Spain,2016,Fall,Computer Science,Mathematics,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male,49
Barcelona,Spain,2017,Fall,Environmental Science,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female,50
Barcelona,Spain,2017,Fall,Environmental Studies,English Literature,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female,51
Barcelona,Spain,2017,Fall,Statistical Sciences,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Male,52
Barcelona,Spain,2017,Fall,Political Science,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female,53
Barcelona,Spain,2017,Fall,None,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female,54
Barcelona,Spain,2017,Fall,Yes,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female,55
Barcelona,Spain,2017,Fall,American Studies,Spanish,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Male,56
Barcelona,Spain,2017,Fall,English Literature,History,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female,57
Barcelona,Spain,2017,Fall,Cognitive Neuroscience,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female,58
Barcelona,Spain,2017,Fall,Economics,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Male,59
Barcelona,Spain,2018,Fall,Political Science,Spanish,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Female,60
Barcelona,Spain,2018,Fall,Music,,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Male,61
Barcelona,Spain,2018,Fall,Political Science,Economics,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Male,62
Barcelona,Spain,2018,Fall,Business (General),Anthropology,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Male,63
Barcelona,Spain,2018,Fall,Economics,,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Female,64
Barcelona,Spain,2018,Fall,International Relations,,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Female,65
Barcelona,Spain,2018,Fall,Neuroscience,,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Male,66
Barcelona,Spain,2018,Fall,Cognitive Neuroscience,,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Female,67
Barcelona,Spain,2018,Fall,Biochemistry,German,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Male,68
Barcelona,Spain,2018,Fall,Computer Science,Psychology,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Female,69
Barcelona,Spain,2017,Spring,Computer Science,,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Female,70
Barcelona,Spain,2017,Spring,Literary Arts,Public Policy and American Institutions,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Female,71
Barcelona,Spain,2017,Spring,Public Policy and American Institutions,,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Female,72
Barcelona,Spain,2017,Spring,Comparative Literature,,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Male,73
Barcelona,Spain,2017,Spring,Music,,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Male,74
Barcelona,Spain,2017,Spring,Yes,None,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Female,75
Barcelona,Spain,2017,Spring,Biology,,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Female,76
Barcelona,Spain,2017,Spring,Urban Studies,,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Female,77
Barcelona,Spain,2018,Spring,Economics,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Female,78
Barcelona,Spain,2018,Spring,Economics,History,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Female,79
Barcelona,Spain,2018,Spring,Yes,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Female,80
Barcelona,Spain,2018,Spring,Public Policy and American Institutions,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Female,81
Barcelona,Spain,2018,Spring,Urban Studies,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Male,82
Barcelona,Spain,2018,Spring,Yes,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Male,83
Barcelona,Spain,2018,Spring,International Relations,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Female,84
Barcelona,Spain,2018,Spring,Comparative Literature,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Male,85
Barcelona,Spain,2018,Spring,American Studies,International Relations,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Female,86
Barcelona,Spain,2018,Spring,History of Art and Architecture,Visual Art,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Male,87
Beijing,"China, People's Republic of",2016,Fall,International Relations,,"Columbia in Beijing at Tsinghua University, China",Fall 2016 ,Male,88
Beijing,"China, People's Republic of",2017,Fall,International Relations,,"Columbia in Beijing at Tsinghua University, China",Fall 2017 ,Female,89
Beijing,"China, People's Republic of",2018,Fall,Literary Arts,,CET - Beijing Chinese Language Program,Fall 2018 ,Female,90
Beijing,"China, People's Republic of",2018,Spring,Africana Studies,Sociology,CET - Beijing Chinese Language Program,Spring 2018 ,Female,91
Berlin,Germany,2016,Fall,History,,"Bard in Berlin, Germany",Fall 2016 ,Female,92
Berlin,Germany,2016,Fall,Modern Culture and Media,,"Bard in Berlin, Germany",Fall 2016 ,Female,93
Berlin,Germany,2016,Fall,Modern Culture and Media,English Literature,"Bard in Berlin, Germany",Fall 2016 ,Male,94
Berlin,Germany,2017,Spring,Mathematics,German,*Brown in Germany,Spring 2017 ,Female,95
Berlin,Germany,2017,Spring,Comparative Literature,,*Brown in Germany,Spring 2017 ,Male,96
Berlin,Germany,2017,Spring,International Relations,,*Brown in Germany,Spring 2017 ,Female,97
Berlin,Germany,2017,Spring,Race and Ethnicity in America,,*Brown in Germany,Spring 2017 ,Female,98
Berlin,Germany,2017,Spring,Comparative Literature,,*Brown in Germany,Spring 2017 ,Female,99
Berlin,Germany,2017,Spring,Cognitive Neuroscience,German,*Brown in Germany,Spring 2017 ,Female,100
Berlin,Germany,2018,Spring,International Relations,None,*Brown in Germany,Spring 2018 ,Female,101
Berlin,Germany,2018,Spring,German,History,*Brown in Germany,Spring 2018 ,Female,102
Berlin,Germany,2018,Spring,History of Art and Architecture,Economics,*Brown in Germany,Spring 2018 ,Female,103
Berlin,Germany,2018,Spring,International Relations,Music,*Brown in Germany,Spring 2018 ,Male,104
Bodh Gaya,India,2017,Fall,None,,Antioch/Carleton Global Engagement Abroad - Buddhist Studies,Fall 2017 ,Male,105
Bodh Gaya,India,2018,Fall,Biochemistry,,Antioch/Carleton Global Engagement Abroad - Buddhist Studies,Fall 2018 ,Male,106
Bodh Gaya,India,2018,Fall,None,,Antioch/Carleton Global Engagement Abroad - Buddhist Studies,Fall 2018 ,Male,107
Bologna,Italy,2016,Fall,International Relations,,*Brown in Italy,Fall 2016 ,Female,108
Bologna,Italy,2017,Fall,International Relations,None,*Brown in Italy,Fall 2017 ,Female,109
Bologna,Italy,2017,Fall,American Studies,,*Brown in Italy,Fall 2017 ,Female,110
Bologna,Italy,2017,Fall,Theatre Arts and Performance Studies,,*Brown in Italy,Fall 2017 ,Female,111
Bologna,Italy,2017,Fall,Sociology,,*Brown in Italy,Fall 2017 ,Male,112
Bologna,Italy,2017,Fall,Economics,Political Science,*Brown in Italy,Fall 2017 ,Female,113
Bologna,Italy,2017,Spring,Public Policy and American Institutions,,*Brown in Italy,Spring 2017 ,Male,114
Bologna,Italy,2017,Spring,Computer Science,None,*Brown in Italy,Spring 2017 ,Female,115
Bologna,Italy,2017,Spring,Comparative Literature,Gender and Sexuality Studies,*Brown in Italy,Spring 2017 ,Female,116
Bologna,Italy,2017,Spring,None,,*Brown in Italy,Spring 2017 ,Male,117
Bologna,Italy,2017,Spring,Biochemistry,,*Brown in Italy,Spring 2017 ,Female,118
Bologna,Italy,2017,Spring,Development Studies,Italian,*Brown in Italy,Spring 2017 ,Male,119
Bologna,Italy,2018,Spring,Economics,Italian,*Brown in Italy,Spring 2018 ,Male,120
Bologna,Italy,2018,Spring,American Studies,Urban Studies,*Brown in Italy,Spring 2018 ,Female,121
Bologna,Italy,2018,Spring,Music,None,*Brown in Italy,Spring 2018 ,Male,122
Bologna,Italy,2018,Spring,American Studies,,*Brown in Italy,Spring 2018 ,Female,123
Bologna,Italy,2018,Spring,International Relations,Italian,*Brown in Italy,Spring 2018 ,Male,124
Bologna,Italy,2018,Spring,Computer Science,Italian,*Brown in Italy,Spring 2018 ,Female,125
Brussels,Belgium,2016,Fall,Cognitive Science,,CIEE - Business and International Relations,Fall 2016 ,Female,126
Brussels,Belgium,2018,Fall,Yes,,CIEE - Business and International Relations,Fall 2018 ,Male,127
Brussels,Belgium,2018,Spring,Economics,Middle East Studies,CIEE - Business and International Relations,Spring 2018 ,Female,128
Brussels,Belgium,2018,Spring,Comparative Literature,International Relations,CIEE - The Advanced Liberal Arts Program ULB,Spring 2018 ,Female,129
Budapest,Hungary,2016,Fall,Computer Science,Music,AIT - Budapest,Fall 2016 ,Female,130
Budapest,Hungary,2016,Fall,Mathematics,,St. Olaf College - Budapest Semester in Mathematics,Fall 2016 ,Female,131
Budapest,Hungary,2017,Fall,None,,AIT - Budapest,Fall 2017 ,Male,132
Budapest,Hungary,2017,Fall,Computer Science,,AIT - Budapest,Fall 2017 ,Male,133
Budapest,Hungary,2017,Fall,Mathematics,,St. Olaf College - Budapest Semester in Mathematics,Fall 2017 ,Female,134
Budapest,Hungary,2018,Fall,Computer Science,Modern Culture and Media,AIT - Budapest,Fall 2018 ,Male,135
Budapest,Hungary,2017,Spring,Computer Science,,AIT - Budapest,Spring 2017 ,Male,136
Budapest,Hungary,2017,Spring,Computer Science,None,AIT - Budapest,Spring 2017 ,Female,137
Budapest,Hungary,2017,Spring,Computer Science,Modern Culture and Media,AIT - Budapest,Spring 2017 ,Female,138
Budapest,Hungary,2018,Spring,Computer Science,,AIT - Budapest,Spring 2018 ,Female,139
Budapest,Hungary,2018,Spring,Business (General),Computer Science,AIT - Budapest,Spring 2018 ,Female,140
Budapest,Hungary,2018,Spring,Computer Science,,AIT - Budapest,Spring 2018 ,Female,141
Budapest,Hungary,2018,Spring,Computer Science,,AIT - Budapest,Spring 2018 ,Female,142
Budapest,Hungary,2018,Spring,Computer Science,,AIT - Budapest,Spring 2018 ,Male,143
Budapest,Hungary,2018,Spring,Biochemistry,,St. Olaf College - Budapest Semester in Mathematics,Spring 2018 ,Male,144
Buenos Aires,Argentina,2016,Fall,International Relations,Economics,*Brown in Argentina (CASA),Fall 2016 ,Female,145
Buenos Aires,Argentina,2016,Fall,Political Science,Development Studies,*Brown in Argentina (CASA),Fall 2016 ,Female,146
Buenos Aires,Argentina,2016,Fall,Political Science,,*Brown in Argentina (CASA),Fall 2016 ,Female,147
Buenos Aires,Argentina,2017,Fall,International Relations,None,*Brown in Argentina (CASA),Fall 2017 ,Female,148
Buenos Aires,Argentina,2017,Fall,English Language,Art,*Brown in Argentina (CASA),Fall 2017 ,Male,149
Buenos Aires,Argentina,2017,Fall,Yes,Spanish,*Brown in Argentina (CASA),Fall 2017 ,Male,150
Buenos Aires,Argentina,2017,Fall,International Relations,,*Brown in Argentina (CASA),Fall 2017 ,Female,151
Buenos Aires,Argentina,2017,Fall,Anthropology,,*Brown in Argentina (CASA),Fall 2017 ,Female,152
Buenos Aires,Argentina,2017,Fall,No,,*Brown in Argentina (CASA),Fall 2017 ,Female,153
Buenos Aires,Argentina,2017,Fall,Business (General),,*Brown in Argentina (CASA),Fall 2017 ,Male,154
Buenos Aires,Argentina,2017,Fall,Urban Studies,,*Brown in Argentina (CASA),Fall 2017 ,Female,155
Buenos Aires,Argentina,2017,Fall,Urban Studies,,*Brown in Argentina (CASA),Fall 2017 ,Male,156
Buenos Aires,Argentina,2017,Fall,Statistical Sciences,Anthropology,*Brown in Argentina (CASA),Fall 2017 ,Male,157
Buenos Aires,Argentina,2017,Fall,International Relations,,*Brown in Argentina (CASA),Fall 2017 ,Female,158
Buenos Aires,Argentina,2017,Fall,Political Science,,*Brown in Argentina (CASA),Fall 2017 ,Female,159
Buenos Aires,Argentina,2017,Fall,None,,*Brown in Argentina (CASA),Fall 2017 ,Female,160
Buenos Aires,Argentina,2017,Fall,International Relations,,*Brown in Argentina (CASA),Fall 2017 ,Female,161
Buenos Aires,Argentina,2017,Spring,Comparative Literature,,*Brown in Argentina (CASA),Spring 2017 ,Male,162
Buenos Aires,Argentina,2017,Spring,Education,,*Brown in Argentina (CASA),Spring 2017 ,Female,163
Buenos Aires,Argentina,2017,Spring,International Relations,Environmental Studies,*Brown in Argentina (CASA),Spring 2017 ,Male,164
Buenos Aires,Argentina,2017,Spring,English Literature,,*Brown in Argentina (CASA),Spring 2017 ,Male,165
Buenos Aires,Argentina,2017,Spring,Public Policy and American Institutions,,*Brown in Argentina (CASA),Spring 2017 ,Female,166
Buenos Aires,Argentina,2017,Spring,Race and Ethnicity in America,,*Brown in Argentina (CASA),Spring 2017 ,Female,167
Buenos Aires,Argentina,2018,Spring,Environmental Studies,,*Brown in Argentina (CASA),Spring 2018 ,Male,168
Buenos Aires,Argentina,2018,Spring,Urban Studies,,*Brown in Argentina (CASA),Spring 2018 ,Female,169
Buenos Aires,Argentina,2018,Spring,Development Studies,Economics,*Brown in Argentina (CASA),Spring 2018 ,Male,170
Buenos Aires,Argentina,2018,Spring,Environmental Science,,*Brown in Argentina (CASA),Spring 2018 ,Female,171
Cairns,Australia,2018,Fall,Economics,Music,"SIT - Australia: Rainforest, Reef, and Cultural Ecology",Fall 2018 ,Male,172
Cantabria,Spain,2017,Fall,Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Fall 2017 ,Male,179
Cantabria,Spain,2017,Spring,Mechanical Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2017 ,Male,180
Cantabria,Spain,2017,Spring,Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2017 ,Female,181
Cantabria,Spain,2017,Spring,Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2017 ,Female,182
Cantabria,Spain,2017,Spring,Computer Science,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2017 ,Female,183
Cantabria,Spain,2017,Spring,Mechanical Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2017 ,Female,184
Cantabria,Spain,2017,Spring,Physics,,"*Brown in Cantabria, Spain - Physics Program",Spring 2017 ,Male,185
Cantabria,Spain,2018,Spring,Chemical Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2018 ,Female,186
Cantabria,Spain,2018,Spring,Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2018 ,Female,187
Cantabria,Spain,2018,Spring,Mechanical Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2018 ,Female,188
Cantabria,Spain,2018,Spring,Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2018 ,Female,189
Cantabria,Spain,2018,Spring,Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2018 ,Female,190
Cantabria,Spain,2018,Spring,Physics,Gender and Sexuality Studies,"*Brown in Cantabria, Spain - Physics Program",Spring 2018 ,Female,191
Cantabria,Spain,2018,Spring,Physics,Computer Science,"*Brown in Cantabria, Spain - Physics Program",Spring 2018 ,Male,192
Cape Town,South Africa,2016,Fall,Art History,Urban Studies,CIEE - University of Cape Town,Fall 2016 ,Female,193
Cape Town,South Africa,2017,Fall,Urban Studies,Economics,CIEE - University of Cape Town,Fall 2017 ,Female,194
Cape Town,South Africa,2017,Fall,Political Science,Economics,CIEE - University of Cape Town,Fall 2017 ,Male,195
Cape Town,South Africa,2017,Fall,Economics,,CIEE - University of Cape Town,Fall 2017 ,Female,196
Cape Town,South Africa,2018,Spring,Literary Arts,,CIEE - University of Cape Town,Spring 2018 ,Female,197
Cape Town,South Africa,2018,Spring,Africana Studies,History of Art and Architecture,CIEE - University of Cape Town,Spring 2018 ,Male,198
Cape Town,South Africa,2018,Spring,Yes,,CIEE - University of Cape Town,Spring 2018 ,Male,199
Cape Town,South Africa,2018,Spring,History,,CIEE - University of Cape Town,Spring 2018 ,Male,200
Cape Town,South Africa,2018,Spring,None,,CIEE - University of Cape Town,Spring 2018 ,Female,201
Christchurch,New Zealand,2018,Spring,Geology,Computer Science,Frontiers Abroad: Geology of New Zealand,Spring 2018 ,Female,202
Copenhagen,Denmark,2016,Fall,Political Science,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Male,203
Copenhagen,Denmark,2016,Fall,Biology,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,204
Copenhagen,Denmark,2016,Fall,Psychology,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,205
Copenhagen,Denmark,2016,Fall,Biology,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Male,206
Copenhagen,Denmark,2016,Fall,English Literature,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,207
Copenhagen,Denmark,2016,Fall,Psychology,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,208
Copenhagen,Denmark,2016,Fall,Biology,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,209
Copenhagen,Denmark,2016,Fall,Biology,None,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,210
Copenhagen,Denmark,2016,Fall,Business (General),Psychology,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,211
Copenhagen,Denmark,2016,Fall,Economics,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,212
Copenhagen,Denmark,2016,Fall,Biology,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,213
Copenhagen,Denmark,2016,Fall,Biology,None,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,214
Copenhagen,Denmark,2016,Fall,Cognitive Neuroscience,Psychology,DIS - Danish Institute for Study Abroad,Fall 2016 ,Male,215
Copenhagen,Denmark,2016,Fall,Computer Science,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,216
Copenhagen,Denmark,2016,Fall,"Commerce, Organizations & Entrepreneurship",Visual Art,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,217
Copenhagen,Denmark,2016,Fall,American Studies,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,218
Copenhagen,Denmark,2016,Fall,Philosophy,Environmental Studies,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female,219
Copenhagen,Denmark,2017,Fall,Sociology,English Language,DIS - Danish Institute for Study Abroad,Fall 2017 ,Male,220
Copenhagen,Denmark,2017,Fall,None,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,221
Copenhagen,Denmark,2017,Fall,Biology,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Male,222
Copenhagen,Denmark,2017,Fall,Geology,Literary Arts,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,223
Copenhagen,Denmark,2017,Fall,Art History,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,224
Copenhagen,Denmark,2017,Fall,None,French,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,225
Copenhagen,Denmark,2017,Fall,Economics,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,226
Copenhagen,Denmark,2017,Fall,Geology,History,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,227
Copenhagen,Denmark,2017,Fall,English Literature,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,228
Copenhagen,Denmark,2017,Fall,Modern Culture and Media,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,229
Copenhagen,Denmark,2017,Fall,Biochemistry,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,230
Copenhagen,Denmark,2017,Fall,Urban Studies,Philosophy,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,231
Copenhagen,Denmark,2017,Fall,Natural Sciences,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Male,232
Copenhagen,Denmark,2017,Fall,Education,Public Policy and American Institutions,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,233
Copenhagen,Denmark,2017,Fall,Modern Culture and Media,History,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,234
Copenhagen,Denmark,2017,Fall,Cognitive Neuroscience,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,235
Copenhagen,Denmark,2017,Fall,Visual Art,Modern Culture and Media,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,236
Copenhagen,Denmark,2017,Fall,Environmental Studies,Public Policy and American Institutions,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,237
Copenhagen,Denmark,2017,Fall,Philosophy,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female,238
Copenhagen,Denmark,2018,Fall,None,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Female,239
Copenhagen,Denmark,2018,Fall,None,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Male,240
Copenhagen,Denmark,2018,Fall,Psychology,Economics,DIS - Danish Institute for Study Abroad,Fall 2018 ,Male,241
Copenhagen,Denmark,2018,Fall,Economics,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Male,242
Copenhagen,Denmark,2018,Fall,History,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Female,243
Copenhagen,Denmark,2018,Fall,Mathematics,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Female,244
Copenhagen,Denmark,2018,Fall,Architecture,Engineering,DIS - Danish Institute for Study Abroad,Fall 2018 ,Female,245
Copenhagen,Denmark,2018,Fall,Computer Science,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Female,246
Copenhagen,Denmark,2018,Fall,Urban Studies,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Male,247
Copenhagen,Denmark,2017,Spring,Computer Science,,DIS - Danish Institute for Study Abroad,Spring 2017 ,Male,248
Copenhagen,Denmark,2017,Spring,Computer Science,PreMed,DIS - Danish Institute for Study Abroad,Spring 2017 ,Male,249
Copenhagen,Denmark,2017,Spring,None,,DIS - Danish Institute for Study Abroad,Spring 2017 ,Female,250
