City,Country,Year,Semester,Major,Second major,Program,Term,Gender
Athens,Greece,2016,Fall,Classics,,College Year in Athens - International Center for Hellenic and Mediterranean Studies,Fall 2016 ,Female
Auckland,New Zealand,2016,Fall,No,,IFSA Butler - University of Auckland,Fall 2016 ,Female
Auckland,New Zealand,2016,Fall,Modern Culture and Media,None,IFSA Butler - University of Auckland,Fall 2016 ,Female
Auckland,New Zealand,2017,Fall,Geology,,IFSA Butler - University of Auckland,Fall 2017 ,Female
Auckland,New Zealand,2018,Fall,Yes,,IFSA Butler - University of Auckland,Fall 2018 ,Female
Auckland,New Zealand,2017,Spring,No,None,IFSA Butler - University of Auckland,Spring 2017 ,Male
Auckland,New Zealand,2017,Spring,Engineering,,IFSA Butler - University of Auckland,Spring 2017 ,Male
Auckland,New Zealand,2018,Spring,Sociology,,IFSA Butler - University of Auckland,Spring 2018 ,Female
Aukland,New Zealand,2017,Fall,Geology,,Frontiers Abroad: New Zealand Earth Systems,Fall 2017 ,Male
Barcelona,Spain,2016,Fall,Cognitive Neuroscience,,*Brown in Barcelona (CASA) - Brown + 1 Program - for Brown Students Only,Fall 2016 ,Female
Barcelona,Spain,2016,Fall,None,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female
Barcelona,Spain,2016,Fall,Public Policy and American Institutions,Spanish,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male
Barcelona,Spain,2016,Fall,None,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female
Barcelona,Spain,2016,Fall,International Relations,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female
Barcelona,Spain,2016,Fall,None,Spanish,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male
Barcelona,Spain,2016,Fall,Anthropology,Religious Studies,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male
Barcelona,Spain,2016,Fall,Psychology,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male
Barcelona,Spain,2016,Fall,Psychology,Spanish,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female
Barcelona,Spain,2016,Fall,Business (General),,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female
Barcelona,Spain,2016,Fall,None,Philosophy,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male
Barcelona,Spain,2016,Fall,Cognitive Neuroscience,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female
Barcelona,Spain,2016,Fall,History,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Female
Barcelona,Spain,2016,Fall,Yes,,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male
Barcelona,Spain,2016,Fall,Computer Science,Mathematics,"*Brown in Barcelona, Spain (CASA)",Fall 2016 ,Male
Barcelona,Spain,2017,Fall,Environmental Science,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female
Barcelona,Spain,2017,Fall,Environmental Studies,English Literature,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female
Barcelona,Spain,2017,Fall,Statistical Sciences,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Male
Barcelona,Spain,2017,Fall,Political Science,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female
Barcelona,Spain,2017,Fall,None,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female
Barcelona,Spain,2017,Fall,Yes,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female
Barcelona,Spain,2017,Fall,American Studies,Spanish,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Male
Barcelona,Spain,2017,Fall,English Literature,History,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female
Barcelona,Spain,2017,Fall,Cognitive Neuroscience,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Female
Barcelona,Spain,2017,Fall,Economics,,"*Brown in Barcelona, Spain (CASA)",Fall 2017 ,Male
Barcelona,Spain,2018,Fall,Political Science,Spanish,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Female
Barcelona,Spain,2018,Fall,Music,,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Male
Barcelona,Spain,2018,Fall,Political Science,Economics,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Male
Barcelona,Spain,2018,Fall,Business (General),Anthropology,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Male
Barcelona,Spain,2018,Fall,Economics,,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Female
Barcelona,Spain,2018,Fall,International Relations,,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Female
Barcelona,Spain,2018,Fall,Neuroscience,,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Male
Barcelona,Spain,2018,Fall,Cognitive Neuroscience,,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Female
Barcelona,Spain,2018,Fall,Biochemistry,German,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Male
Barcelona,Spain,2018,Fall,Computer Science,Psychology,"*Brown in Barcelona, Spain (CASA)",Fall 2018 ,Female
Barcelona,Spain,2017,Spring,Computer Science,,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Female
Barcelona,Spain,2017,Spring,Literary Arts,Public Policy and American Institutions,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Female
Barcelona,Spain,2017,Spring,Public Policy and American Institutions,,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Female
Barcelona,Spain,2017,Spring,Comparative Literature,,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Male
Barcelona,Spain,2017,Spring,Music,,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Male
Barcelona,Spain,2017,Spring,Yes,None,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Female
Barcelona,Spain,2017,Spring,Biology,,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Female
Barcelona,Spain,2017,Spring,Urban Studies,,"*Brown in Barcelona, Spain (CASA)",Spring 2017 ,Female
Barcelona,Spain,2018,Spring,Economics,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Female
Barcelona,Spain,2018,Spring,Economics,History,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Female
Barcelona,Spain,2018,Spring,Yes,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Female
Barcelona,Spain,2018,Spring,Public Policy and American Institutions,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Female
Barcelona,Spain,2018,Spring,Urban Studies,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Male
Barcelona,Spain,2018,Spring,Yes,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Male
Barcelona,Spain,2018,Spring,International Relations,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Female
Barcelona,Spain,2018,Spring,Comparative Literature,,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Male
Barcelona,Spain,2018,Spring,American Studies,International Relations,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Female
Barcelona,Spain,2018,Spring,History of Art and Architecture,Visual Art,"*Brown in Barcelona, Spain (CASA)",Spring 2018 ,Male
Beijing,"China, People's Republic of",2016,Fall,International Relations,,"Columbia in Beijing at Tsinghua University, China",Fall 2016 ,Male
Beijing,"China, People's Republic of",2017,Fall,International Relations,,"Columbia in Beijing at Tsinghua University, China",Fall 2017 ,Female
Beijing,"China, People's Republic of",2018,Fall,Literary Arts,,CET - Beijing Chinese Language Program,Fall 2018 ,Female
Beijing,"China, People's Republic of",2018,Spring,Africana Studies,Sociology,CET - Beijing Chinese Language Program,Spring 2018 ,Female
Berlin,Germany,2016,Fall,History,,"Bard in Berlin, Germany",Fall 2016 ,Female
Berlin,Germany,2016,Fall,Modern Culture and Media,,"Bard in Berlin, Germany",Fall 2016 ,Female
Berlin,Germany,2016,Fall,Modern Culture and Media,English Literature,"Bard in Berlin, Germany",Fall 2016 ,Male
Berlin,Germany,2017,Spring,Mathematics,German,*Brown in Germany,Spring 2017 ,Female
Berlin,Germany,2017,Spring,Comparative Literature,,*Brown in Germany,Spring 2017 ,Male
Berlin,Germany,2017,Spring,International Relations,,*Brown in Germany,Spring 2017 ,Female
Berlin,Germany,2017,Spring,Race and Ethnicity in America,,*Brown in Germany,Spring 2017 ,Female
Berlin,Germany,2017,Spring,Comparative Literature,,*Brown in Germany,Spring 2017 ,Female
Berlin,Germany,2017,Spring,Cognitive Neuroscience,German,*Brown in Germany,Spring 2017 ,Female
Berlin,Germany,2018,Spring,International Relations,None,*Brown in Germany,Spring 2018 ,Female
Berlin,Germany,2018,Spring,German,History,*Brown in Germany,Spring 2018 ,Female
Berlin,Germany,2018,Spring,History of Art and Architecture,Economics,*Brown in Germany,Spring 2018 ,Female
Berlin,Germany,2018,Spring,International Relations,Music,*Brown in Germany,Spring 2018 ,Male
Bodh Gaya,India,2017,Fall,None,,Antioch/Carleton Global Engagement Abroad - Buddhist Studies,Fall 2017 ,Male
Bodh Gaya,India,2018,Fall,Biochemistry,,Antioch/Carleton Global Engagement Abroad - Buddhist Studies,Fall 2018 ,Male
Bodh Gaya,India,2018,Fall,None,,Antioch/Carleton Global Engagement Abroad - Buddhist Studies,Fall 2018 ,Male
Bologna,Italy,2016,Fall,International Relations,,*Brown in Italy,Fall 2016 ,Female
Bologna,Italy,2017,Fall,International Relations,None,*Brown in Italy,Fall 2017 ,Female
Bologna,Italy,2017,Fall,American Studies,,*Brown in Italy,Fall 2017 ,Female
Bologna,Italy,2017,Fall,Theatre Arts and Performance Studies,,*Brown in Italy,Fall 2017 ,Female
Bologna,Italy,2017,Fall,Sociology,,*Brown in Italy,Fall 2017 ,Male
Bologna,Italy,2017,Fall,Economics,Political Science,*Brown in Italy,Fall 2017 ,Female
Bologna,Italy,2017,Spring,Public Policy and American Institutions,,*Brown in Italy,Spring 2017 ,Male
Bologna,Italy,2017,Spring,Computer Science,None,*Brown in Italy,Spring 2017 ,Female
Bologna,Italy,2017,Spring,Comparative Literature,Gender and Sexuality Studies,*Brown in Italy,Spring 2017 ,Female
Bologna,Italy,2017,Spring,None,,*Brown in Italy,Spring 2017 ,Male
Bologna,Italy,2017,Spring,Biochemistry,,*Brown in Italy,Spring 2017 ,Female
Bologna,Italy,2017,Spring,Development Studies,Italian,*Brown in Italy,Spring 2017 ,Male
Bologna,Italy,2018,Spring,Economics,Italian,*Brown in Italy,Spring 2018 ,Male
Bologna,Italy,2018,Spring,American Studies,Urban Studies,*Brown in Italy,Spring 2018 ,Female
Bologna,Italy,2018,Spring,Music,None,*Brown in Italy,Spring 2018 ,Male
Bologna,Italy,2018,Spring,American Studies,,*Brown in Italy,Spring 2018 ,Female
Bologna,Italy,2018,Spring,International Relations,Italian,*Brown in Italy,Spring 2018 ,Male
Bologna,Italy,2018,Spring,Computer Science,Italian,*Brown in Italy,Spring 2018 ,Female
Brussels,Belgium,2016,Fall,Cognitive Science,,CIEE - Business and International Relations,Fall 2016 ,Female
Brussels,Belgium,2018,Fall,Yes,,CIEE - Business and International Relations,Fall 2018 ,Male
Brussels,Belgium,2018,Spring,Economics,Middle East Studies,CIEE - Business and International Relations,Spring 2018 ,Female
Brussels,Belgium,2018,Spring,Comparative Literature,International Relations,CIEE - The Advanced Liberal Arts Program ULB,Spring 2018 ,Female
Budapest,Hungary,2016,Fall,Computer Science,Music,AIT - Budapest,Fall 2016 ,Female
Budapest,Hungary,2016,Fall,Mathematics,,St. Olaf College - Budapest Semester in Mathematics,Fall 2016 ,Female
Budapest,Hungary,2017,Fall,None,,AIT - Budapest,Fall 2017 ,Male
Budapest,Hungary,2017,Fall,Computer Science,,AIT - Budapest,Fall 2017 ,Male
Budapest,Hungary,2017,Fall,Mathematics,,St. Olaf College - Budapest Semester in Mathematics,Fall 2017 ,Female
Budapest,Hungary,2018,Fall,Computer Science,Modern Culture and Media,AIT - Budapest,Fall 2018 ,Male
Budapest,Hungary,2017,Spring,Computer Science,,AIT - Budapest,Spring 2017 ,Male
Budapest,Hungary,2017,Spring,Computer Science,None,AIT - Budapest,Spring 2017 ,Female
Budapest,Hungary,2017,Spring,Computer Science,Modern Culture and Media,AIT - Budapest,Spring 2017 ,Female
Budapest,Hungary,2018,Spring,Computer Science,,AIT - Budapest,Spring 2018 ,Female
Budapest,Hungary,2018,Spring,Business (General),Computer Science,AIT - Budapest,Spring 2018 ,Female
Budapest,Hungary,2018,Spring,Computer Science,,AIT - Budapest,Spring 2018 ,Female
Budapest,Hungary,2018,Spring,Computer Science,,AIT - Budapest,Spring 2018 ,Female
Budapest,Hungary,2018,Spring,Computer Science,,AIT - Budapest,Spring 2018 ,Male
Budapest,Hungary,2018,Spring,Biochemistry,,St. Olaf College - Budapest Semester in Mathematics,Spring 2018 ,Male
Buenos Aires,Argentina,2016,Fall,International Relations,Economics,*Brown in Argentina (CASA),Fall 2016 ,Female
Buenos Aires,Argentina,2016,Fall,Political Science,Development Studies,*Brown in Argentina (CASA),Fall 2016 ,Female
Buenos Aires,Argentina,2016,Fall,Political Science,,*Brown in Argentina (CASA),Fall 2016 ,Female
Buenos Aires,Argentina,2017,Fall,International Relations,None,*Brown in Argentina (CASA),Fall 2017 ,Female
Buenos Aires,Argentina,2017,Fall,English Language,Art,*Brown in Argentina (CASA),Fall 2017 ,Male
Buenos Aires,Argentina,2017,Fall,Yes,Spanish,*Brown in Argentina (CASA),Fall 2017 ,Male
Buenos Aires,Argentina,2017,Fall,International Relations,,*Brown in Argentina (CASA),Fall 2017 ,Female
Buenos Aires,Argentina,2017,Fall,Anthropology,,*Brown in Argentina (CASA),Fall 2017 ,Female
Buenos Aires,Argentina,2017,Fall,No,,*Brown in Argentina (CASA),Fall 2017 ,Female
Buenos Aires,Argentina,2017,Fall,Business (General),,*Brown in Argentina (CASA),Fall 2017 ,Male
Buenos Aires,Argentina,2017,Fall,Urban Studies,,*Brown in Argentina (CASA),Fall 2017 ,Female
Buenos Aires,Argentina,2017,Fall,Urban Studies,,*Brown in Argentina (CASA),Fall 2017 ,Male
Buenos Aires,Argentina,2017,Fall,Statistical Sciences,Anthropology,*Brown in Argentina (CASA),Fall 2017 ,Male
Buenos Aires,Argentina,2017,Fall,International Relations,,*Brown in Argentina (CASA),Fall 2017 ,Female
Buenos Aires,Argentina,2017,Fall,Political Science,,*Brown in Argentina (CASA),Fall 2017 ,Female
Buenos Aires,Argentina,2017,Fall,None,,*Brown in Argentina (CASA),Fall 2017 ,Female
Buenos Aires,Argentina,2017,Fall,International Relations,,*Brown in Argentina (CASA),Fall 2017 ,Female
Buenos Aires,Argentina,2017,Spring,Comparative Literature,,*Brown in Argentina (CASA),Spring 2017 ,Male
Buenos Aires,Argentina,2017,Spring,Education,,*Brown in Argentina (CASA),Spring 2017 ,Female
Buenos Aires,Argentina,2017,Spring,International Relations,Environmental Studies,*Brown in Argentina (CASA),Spring 2017 ,Male
Buenos Aires,Argentina,2017,Spring,English Literature,,*Brown in Argentina (CASA),Spring 2017 ,Male
Buenos Aires,Argentina,2017,Spring,Public Policy and American Institutions,,*Brown in Argentina (CASA),Spring 2017 ,Female
Buenos Aires,Argentina,2017,Spring,Race and Ethnicity in America,,*Brown in Argentina (CASA),Spring 2017 ,Female
Buenos Aires,Argentina,2018,Spring,Environmental Studies,,*Brown in Argentina (CASA),Spring 2018 ,Male
Buenos Aires,Argentina,2018,Spring,Urban Studies,,*Brown in Argentina (CASA),Spring 2018 ,Female
Buenos Aires,Argentina,2018,Spring,Development Studies,Economics,*Brown in Argentina (CASA),Spring 2018 ,Male
Buenos Aires,Argentina,2018,Spring,Environmental Science,,*Brown in Argentina (CASA),Spring 2018 ,Female
Cairns,Australia,2018,Fall,Economics,Music,"SIT - Australia: Rainforest, Reef, and Cultural Ecology",Fall 2018 ,Male
Cambridge,United Kingdom,"2016, 2017","Fall, Spring",Physics,,"*Brown in the U.K. - Cambridge University, Pembroke College",Entire Year - Fall 2016 and Spring 2017 ,Male
Cambridge,United Kingdom,"2016, 2017","Fall, Spring",Mathematics,Classics,"*Brown in the U.K. - Cambridge University, Pembroke College",Entire Year - Fall 2016 and Spring 2017 ,Male
Cambridge,United Kingdom,"2017, 2018","Fall, Spring",International Relations,,"*Brown in the U.K. - Cambridge University, Pembroke College",Entire Year - Fall 2017 and Spring 2018 ,Female
Cambridge,United Kingdom,"2017, 2018","Fall, Spring",Science,,"*Brown in the U.K. - Cambridge University, Pembroke College",Entire Year - Fall 2017 and Spring 2018 ,Female
Cambridge,United Kingdom,"2018, 2019","Fall, Spring",History,None,"*Brown in the U.K. - Cambridge University, Pembroke College",Entire Year - Fall 2018 and Spring 2019 ,Male
Cambridge,United Kingdom,"2018, 2019","Fall, Spring",English Literature,,"*Brown in the U.K. - Cambridge University, Pembroke College",Entire Year - Fall 2018 and Spring 2019 ,Male
Cantabria,Spain,2017,Fall,Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Fall 2017 ,Male
Cantabria,Spain,2017,Spring,Mechanical Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2017 ,Male
Cantabria,Spain,2017,Spring,Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2017 ,Female
Cantabria,Spain,2017,Spring,Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2017 ,Female
Cantabria,Spain,2017,Spring,Computer Science,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2017 ,Female
Cantabria,Spain,2017,Spring,Mechanical Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2017 ,Female
Cantabria,Spain,2017,Spring,Physics,,"*Brown in Cantabria, Spain - Physics Program",Spring 2017 ,Male
Cantabria,Spain,2018,Spring,Chemical Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2018 ,Female
Cantabria,Spain,2018,Spring,Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2018 ,Female
Cantabria,Spain,2018,Spring,Mechanical Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2018 ,Female
Cantabria,Spain,2018,Spring,Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2018 ,Female
Cantabria,Spain,2018,Spring,Engineering,,"*Brown in Cantabria, Spain - Engineering Program",Spring 2018 ,Female
Cantabria,Spain,2018,Spring,Physics,Gender and Sexuality Studies,"*Brown in Cantabria, Spain - Physics Program",Spring 2018 ,Female
Cantabria,Spain,2018,Spring,Physics,Computer Science,"*Brown in Cantabria, Spain - Physics Program",Spring 2018 ,Male
Cape Town,South Africa,2016,Fall,Art History,Urban Studies,CIEE - University of Cape Town,Fall 2016 ,Female
Cape Town,South Africa,2017,Fall,Urban Studies,Economics,CIEE - University of Cape Town,Fall 2017 ,Female
Cape Town,South Africa,2017,Fall,Political Science,Economics,CIEE - University of Cape Town,Fall 2017 ,Male
Cape Town,South Africa,2017,Fall,Economics,,CIEE - University of Cape Town,Fall 2017 ,Female
Cape Town,South Africa,2018,Spring,Literary Arts,,CIEE - University of Cape Town,Spring 2018 ,Female
Cape Town,South Africa,2018,Spring,Africana Studies,History of Art and Architecture,CIEE - University of Cape Town,Spring 2018 ,Male
Cape Town,South Africa,2018,Spring,Yes,,CIEE - University of Cape Town,Spring 2018 ,Male
Cape Town,South Africa,2018,Spring,History,,CIEE - University of Cape Town,Spring 2018 ,Male
Cape Town,South Africa,2018,Spring,None,,CIEE - University of Cape Town,Spring 2018 ,Female
Christchurch,New Zealand,2018,Spring,Geology,Computer Science,Frontiers Abroad: Geology of New Zealand,Spring 2018 ,Female
Copenhagen,Denmark,2016,Fall,Political Science,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Male
Copenhagen,Denmark,2016,Fall,Biology,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,Psychology,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,Biology,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Male
Copenhagen,Denmark,2016,Fall,English Literature,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,Psychology,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,Biology,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,Biology,None,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,Business (General),Psychology,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,Economics,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,Biology,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,Biology,None,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,Cognitive Neuroscience,Psychology,DIS - Danish Institute for Study Abroad,Fall 2016 ,Male
Copenhagen,Denmark,2016,Fall,Computer Science,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,"Commerce, Organizations & Entrepreneurship",Visual Art,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,American Studies,,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2016,Fall,Philosophy,Environmental Studies,DIS - Danish Institute for Study Abroad,Fall 2016 ,Female
Copenhagen,Denmark,2017,Fall,Sociology,English Language,DIS - Danish Institute for Study Abroad,Fall 2017 ,Male
Copenhagen,Denmark,2017,Fall,None,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Biology,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Male
Copenhagen,Denmark,2017,Fall,Geology,Literary Arts,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Art History,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,None,French,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Economics,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Geology,History,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,English Literature,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Modern Culture and Media,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Biochemistry,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Urban Studies,Philosophy,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Natural Sciences,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Male
Copenhagen,Denmark,2017,Fall,Education,Public Policy and American Institutions,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Modern Culture and Media,History,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Cognitive Neuroscience,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Visual Art,Modern Culture and Media,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Environmental Studies,Public Policy and American Institutions,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2017,Fall,Philosophy,,DIS - Danish Institute for Study Abroad,Fall 2017 ,Female
Copenhagen,Denmark,2018,Fall,None,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Female
Copenhagen,Denmark,2018,Fall,None,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Male
Copenhagen,Denmark,2018,Fall,Psychology,Economics,DIS - Danish Institute for Study Abroad,Fall 2018 ,Male
Copenhagen,Denmark,2018,Fall,Economics,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Male
Copenhagen,Denmark,2018,Fall,History,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Female
Copenhagen,Denmark,2018,Fall,Mathematics,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Female
Copenhagen,Denmark,2018,Fall,Architecture,Engineering,DIS - Danish Institute for Study Abroad,Fall 2018 ,Female
Copenhagen,Denmark,2018,Fall,Computer Science,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Female
Copenhagen,Denmark,2018,Fall,Urban Studies,,DIS - Danish Institute for Study Abroad,Fall 2018 ,Male
Copenhagen,Denmark,2017,Spring,Computer Science,,DIS - Danish Institute for Study Abroad,Spring 2017 ,Male
Copenhagen,Denmark,2017,Spring,Computer Science,PreMed,DIS - Danish Institute for Study Abroad,Spring 2017 ,Male
